Index,Unit,Technology,Fuel,PowerCapacity,PartLoadMin,RampUpRate,RampDownRate,StartUpTime,MinUpTime,MinDownTime,NoLoadCost,StartUpCost,RampingCost,Efficiency,MinEfficiency,Zone
1,Plant001,CCGT,NG,114,0.31,0.0153,0.0153,1,5,1,0,0,0,0.57,0.57,z1
2,Plant002,CCGT,NG,50,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,z1
3,Plant003,CCGT,NG,344,0.45,0.0286,0.0286,2,5,1,0,0,0,0.57,0.57,z1
4,Plant004,CCGT,NG,483,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,z1
5,Plant005,CCGT,NG,421,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z1
6,Plant006,CCGT,NG,451,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,z1
7,Plant007,CCGT,NG,393,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z1
8,Plant008,CCGT,NG,44,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,z1
9,Plant009,CCGT,NG,477,0.46,0.0444,0.0444,2,5,1,0,0,0,0.57,0.57,z1
10,Plant010,CCGT,NG,367,0.45,0.0286,0.0286,2,5,1,0,0,0,0.57,0.57,z1
11,Plant011,CCGT,NG,392,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z1
12,Plant012,CCGT,NG,397,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z1
13,Plant013,CCGT,NG,42,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,z1
14,Plant014,CCGT,NG,44,0.8,0.025,0.025,1,5,1,0,0,0,0.57,0.57,z1
15,Plant015,CCGT,NG,377,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z2
16,Plant016,CCGT,WR,20,0.1,0.025,0.025,1,5,1,0,0,0,0.57,0.57,z2
17,Plant017,CCGT,NG,144,0.31,0.0153,0.0153,1,5,1,0,0,0,0.57,0.57,z2
18,Plant018,CCGT,NG,437,0.56,0.025,0.025,2,5,1,0,0,0,0.57,0.57,z2
19,Plant019,CL,WP,92,0.5,0.02,0.02,2,5,1,0,0,0,0.4,0.4,z1
20,Plant020,CL,NG,283,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,z1
21,Plant021,CL,WP,261,0.35,0.007,0.007,7,5,1,0,0,0,0.4,0.4,z1
22,Plant022,CL,CP,287,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,z1
23,Plant023,CL,NG,294,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,z1
24,Plant024,CL,NG/BF,320,0.2,0.003,0.003,7,5,1,0,0,0,0.33,0.33,z1
25,Plant025,CL,CP,238,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,z1
26,Plant026,CL,CP,245,0.35,0.007,0.007,7,5,1,0,0,0,0.33,0.33,z1
27,Plant027,D,GO,3,0.1,0.07,0.07,0.25,0,0,0,0,0,0.4,0.4,z1
28,Plant028,D,GO,3,0.1,0.07,0.07,0.25,0,0,0,0,0,0.4,0.4,z1
29,Plant029,GT,NG,64,0.4,0.128,0.128,0.25,0,0,0,0,0,0.41,0.41,z1
30,Plant030,GT,NG,63,0.4,0.128,0.128,0.25,0,0,0,0,0,0.41,0.41,z1
31,Plant031,GT,NG,52,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,z1
32,Plant032,GT,NG,54,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,z1
33,Plant033,GT,GO,73,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,z1
34,Plant034,GT,NG,79,0.4,0.128,0.128,0.25,0,0,0,0,0,0.35,0.35,z1
35,Plant035,HU,WA,10,0,0,0,0,0,0,0,0,0,1,1,z1
36,Plant036,HU,WA,9,0,0,0,0,0,0,0,0,0,1,1,z1
37,Plant037,HU,WA,1,0,0,0,0,0,0,0,0,0,1,1,z1
38,Plant038,HU,WA,5,0,0,0,0,0,0,0,0,0,1,1,z1
39,Plant039,HU,WA,10,0,0,0,0,0,0,0,0,0,1,1,z1
40,Plant040,HU,WA,19,0,0,0,0,0,0,0,0,0,1,1,z1
41,Plant041,HU,WA,19,0,0,0,0,0,0,0,0,0,1,1,z1
42,Plant042,HU,WA,3,0,0,0,0,0,0,0,0,0,1,1,z1
43,Plant043,HU,WA,3,0,0,0,0,0,0,0,0,0,1,1,z1
44,Plant044,HU,WA,3,0,0,0,0,0,0,0,0,0,1,1,z1
45,Plant045,HU,WA,2,0,0,0,0,0,0,0,0,0,1,1,z1
46,Plant046,HUSTO,WA,458,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,z2
47,Plant047,HUSTO,WA,692,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,z2
48,Plant048,HU,WA,4,0,0,0,0,0,0,0,0,0,1,1,z2
49,Plant049,HU,WA,4,0,0,0,0,0,0,0,0,0,1,1,z2
50,Plant050,HUSTO,WA,142,0.43,0.33,0.33,0.3,0,0,0,0,0,1,1,z2
51,Plant051,HU,WA,2,0,0,0,0,0,0,0,0,0,1,1,z2
52,Plant052,IS,WR,21,0,0,0,0,0,0,0,0,0,1,1,z2
53,Plant053,IS,WR,40,0,0,0,0,0,0,0,0,0,1,1,z2
54,Plant054,IS,WR,15,0,0,0,0,0,0,0,0,0,1,1,z2
55,Plant055,IS,WR,16,0,0,0,0,0,0,0,0,0,1,1,z2
56,Plant056,IS,WR,14,0,0,0,0,0,0,0,0,0,1,1,z2
57,Plant057,IS,WR,20,0,0,0,0,0,0,0,0,0,1,1,z2
58,Plant058,IS,WR,50,0,0,0,0,0,0,0,0,0,1,1,z2
59,Plant059,IS,WR,16,0,0,0,0,0,0,0,0,0,1,1,z2
60,Plant060,IS,WR,32,0,0,0,0,0,0,0,0,0,1,1,z2
61,Plant061,IS,WR,11,0,0,0,0,0,0,0,0,0,1,1,z2
62,Plant062,NU,NU,419,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
63,Plant063,NU,NU,417,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
64,Plant064,NU,NU,1023,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
65,Plant065,NU,NU,1066,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
66,Plant066,NU,NU,502,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
67,Plant067,NU,NU,465,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
68,Plant068,NU,NU,995,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
69,Plant069,NU,NU,1008,0.9,0.02,0.02,72,24,24,0,0,0,0.33,0.33,z2
70,Plant070,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
71,Plant071,TJ,LV,32,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
72,Plant072,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
73,Plant073,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
74,Plant074,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
75,Plant075,TJ,LV,19,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
76,Plant076,TJ,LV,19,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
77,Plant077,TJ,LV,18,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
78,Plant078,TJ,LV,19,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
79,Plant079,TJ,LV,19,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
80,Plant080,TJ,LV,17,0.3,0.07,0.07,0.25,0,0,0,0,0,0.2,0.2,z1
81,Plant081,WKK,NG,21,0,0,0,0,0,0,0,0,0,1,1,z1
82,Plant082,WKK,NG,7,0,0,0,0,0,0,0,0,0,1,1,z1
83,Plant083,WKK,NG,44,0,0,0,0,0,0,0,0,0,1,1,z1
84,Plant084,WKK,NG,5,0,0,0,0,0,0,0,0,0,1,1,z1
85,Plant085,WKK,NG,23,0,0,0,0,0,0,0,0,0,1,1,z1
86,Plant086,WKK,BF,46,0,0,0,0,0,0,0,0,0,1,1,z1
87,Plant087,WKK,NG,44,0,0,0,0,0,0,0,0,0,1,1,z1
88,Plant088,WKK,NG,45,0,0,0,0,0,0,0,0,0,1,1,z1
89,Plant089,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,z1
90,Plant090,WKK,NG,8,0,0,0,0,0,0,0,0,0,1,1,z1
91,Plant091,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,z1
92,Plant092,WKK,WR,10,0,0,0,0,0,0,0,0,0,1,1,z1
93,Plant093,WKK,WR,41,0,0,0,0,0,0,0,0,0,1,1,z1
94,Plant094,WKK,NG,43,0,0,0,0,0,0,0,0,0,1,1,z1
95,Plant095,WKK,NG,31,0,0,0,0,0,0,0,0,0,1,1,z1
96,Plant096,WKK,NG,10,0,0,0,0,0,0,0,0,0,1,1,z1
97,Plant097,WKK,NG,41,0,0,0,0,0,0,0,0,0,1,1,z1
98,Plant098,WKK,NG,41,0,0,0,0,0,0,0,0,0,1,1,z1
99,Plant099,WKK,NG,7,0,0,0,0,0,0,0,0,0,1,1,z1
100,Plant100,WKK,NG,7,0,0,0,0,0,0,0,0,0,1,1,z1
101,Plant101,WKK,NG,136,0,0,0,0,0,0,0,0,0,1,1,z1
102,Plant102,WKK,NG,44,0,0,0,0,0,0,0,0,0,1,1,z1
103,Plant103,WKK,NG,42,0,0,0,0,0,0,0,0,0,1,1,z1
104,Plant104,WKK,NG,45,0,0,0,0,0,0,0,0,0,1,1,z1
105,Plant105,WKK,NG,39,0,0,0,0,0,0,0,0,0,1,1,z1
106,Plant106,WKK,NG,42,0,0,0,0,0,0,0,0,0,1,1,z1
107,Plant107,WKK,NG,15,0,0,0,0,0,0,0,0,0,1,1,z1
108,Plant108,WKK,NG,13,0,0,0,0,0,0,0,0,0,1,1,z1
109,Plant109,WKK,WR,19,0,0,0,0,0,0,0,0,0,1,1,z1
110,Plant110,WT,WI,159,0,0,0,0,0,0,0,0,0,1,1,z1
111,Plant111,WT,WI,25,0,0,0,0,0,0,0,0,0,1,1,z1
112,Plant112,WT,WI,3,0,0,0,0,0,0,0,0,0,1,1,z1
113,Plant113,WT,WI,5,0,0,0,0,0,0,0,0,0,1,1,z1
114,Plant114,WT,WI,30,0,0,0,0,0,0,0,0,0,1,1,z1
115,Plant115,WT,WI,66,0,0,0,0,0,0,0,0,0,1,1,z2
116,Plant116,WT,WI,12,0,0,0,0,0,0,0,0,0,1,1,z2
117,Plant117,WT,WI,18,0,0,0,0,0,0,0,0,0,1,1,z2
118,Plant118,WT,WI,56,0,0,0,0,0,0,0,0,0,1,1,z2
119,Plant119,WT,WI,5,0,0,0,0,0,0,0,0,0,1,1,z2
120,Plant120,WT,WI,23,0,0,0,0,0,0,0,0,0,1,1,z2
121,AllSol_z2,PV,SOL,0,0,0,0,0,0,0,0,0,0,1,1,z2
122,AllSol_z1,PV,SOL,0,0,0,0,0,0,0,0,0,0,1,1,z1
